otu_id	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_13916	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	""	""	""
OTU_13917	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	""	""
OTU_13918	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	""	""
OTU_13919	Bacteria	Chloroflexi	TK10	""	""	""	""
OTU_13920	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	chartarius
OTU_13921	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Ktedonobacter	""
OTU_13922	Bacteria	Chloroflexi	""	""	""	""	""
OTU_13923	Bacteria	Chloroflexi	TK10	""	""	""	""
OTU_13924	Bacteria	""	""	""	""	""	""
OTU_13925	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	""	""
OTU_13926	Bacteria	Chloroflexi	""	""	""	""	""
OTU_13927	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	""
OTU_13928	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	""	""
OTU_13929	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	""	""
OTU_13930	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	""
OTU_13931	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	""	""
OTU_13932	Bacteria	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	""
OTU_13933	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	""	""	""
OTU_13934	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	""	""
OTU_13935	Bacteria	Chloroflexi	""	""	""	""	""
OTU_13936	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Aquisphaera	""
OTU_13939	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	FCPS473	""
OTU_13940	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	""	""
OTU_13941	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	""	""
OTU_13942	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	""	""
OTU_13943	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	""	""
OTU_13944	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	""	""
OTU_13945	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	""	""
OTU_13946	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	""	""
OTU_13947	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	""	""	""
