sample_id	regime	block	plot	quadrat	litter_type	community	richness_fungi	shannon_fungi	evenness_fungi	pco1_57_leaf_fungi	pco2_38_leaf_fungi	pco1_54_soil_fungi	pco2_39_soil_fungi
S74	U	C	C5	2	Grass	Leaf	58	1.9383255954788	0.477368008969533	0.0839198957820658	-0.0996970774361688		
S75	U	B	B6	2	Leaf	Leaf	135	3.28340034600841	0.669361145769222	-0.183176608423892	-0.143117406858436		
S76	E2	B	B5	2	Grass	Leaf	85	2.27485157610636	0.512048199323096	0.133262838963698	-0.0565493545823443		
S81	E2	C	C6	3	Leaf	Leaf	86	3.33512022767517	0.748733766332117	-0.111155729265958	-0.0180655470642457		
S82	U	C	C5	3	Grass	Leaf	109	3.558692124681	0.758564961289985	0.16981295145969	-0.0933252300557511		
S83	U	B	B6	3	Leaf	Leaf	74	3.41113211823139	0.792537297732169	-0.0432476702943854	-0.161154777177505		
S84	E2	B	B5	3	Grass	Leaf	98	2.92627999367305	0.638233533233595	0.19778623566331	-0.062809875812468		
S89	E2	C	C6	4	Leaf	Leaf	140	4.00105092657591	0.809660146244102	-0.205981874686507	0.104033968458594		
S9	U	C	C5	2	Leaf	Leaf	65	3.57592260186558	0.856634128714892	-0.0106961680063975	-0.0453577512970624		
S90	U	C	C5	4	Grass	Leaf	152	3.94548301743893	0.785345710565249	0.0271523956174516	-0.172829591889089		
S91	U	B	B6	4	Leaf	Leaf	112	3.66680501809885	0.777112619525203	-0.222287821741102	0.00425410902320281		
S92	E2	B	B5	4	Grass	Leaf	143	3.88872206507941	0.783567158514039	0.171589663132419	0.0432375737027703		
S97	L2	A	A2	1	Grass	Soil	114	3.93013472569299	0.829807865636468			-0.0208879210434821	-0.211167672418354
S98	E2	A	A5	1	Leaf	Soil	145	3.3799217997928	0.67914459055406			-0.0588132774649187	0.0725963200984448
S99	L2	B	B3	1	Grass	Soil	170	3.95721746285808	0.770516505147522			-0.243707385651598	-0.0482811416424385
