Rank	Dataset	original cut-off	original confidence	original min alignment length	Dataset with max. confidence	cut-off	confidence	min alignment length	sequence number	group number	fasta filename	classification filename
genus	Sporocadaceae	0.966	0.9429	50	Sporocadaceae	0.966	0.9429	50	1157	13	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Erysiphaceae	0.904	0.9879	50	Erysiphaceae	0.904	0.9879	50	924	13	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Hymenochaetaceae	0.902	0.7834	50	Hymenochaetaceae	0.902	0.7834	50	1380	23	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Pyronemataceae	0.936	0.8006	50	Pyronemataceae	0.936	0.8006	50	1644	37	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Boletaceae	0.944	0.8351	50	Boletaceae	0.944	0.8351	50	1322	47	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Pezizaceae	0.893	0.6591	50	Pezizaceae	0.893	0.6591	50	2010	30	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Leptosphaeriaceae	0.7	0.7937	50	Pleosporales	0.967	0.8667	50	293	11	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Microascaceae	0.982	0.884	50	Microascaceae	0.982	0.884	50	523	11	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Lyophyllaceae	0.961	0.891	50	Lyophyllaceae	0.961	0.891	50	802	15	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Mycosphaerellaceae	0.978	0.7839	50	Mycosphaerellales	0.971	0.7896	50	891	77	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Steccherinaceae	0.958	0.6014	50	Polyporales	0.955	0.7919	50	544	21	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Pezizellaceae	0.911	0.5713	50	Leotiomycetes	0.97	0.7442	50	701	14	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Rhytismataceae	0.954	0.6553	50	Leotiomycetes	0.97	0.7442	50	660	23	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Clavicipitaceae	0.941	0.7329	50	Hypocreales	0.965	0.9192	50	1950	28	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Irpicaceae	0.977	0.7873	50	Polyporales	0.955	0.7919	50	372	10	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Hypocreaceae	0.944	0.9641	50	Hypocreaceae	0.944	0.9641	50	5230	16	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Agaricales_fam_Incertae_sedis	0.962	0.6467	50	Agaricales_fam_Incertae_sedis	0.962	0.6467	50	1950	62	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Botryosphaeriaceae	0.964	0.9629	50	Botryosphaeriaceae	0.964	0.9629	50	1199	12	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Phanerochaetaceae	0.96	0.825	50	Phanerochaetaceae	0.96	0.825	50	1161	13	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Hygrophoraceae	0.724	0.7614	50	Hygrophoraceae	0.724	0.7614	50	3467	20	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Verrucariaceae	0.943	0.5487	50	Eurotiomycetes	0.945	0.7912	50	1041	27	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Xylariaceae	0.948	0.8529	50	Xylariaceae	0.948	0.8529	50	2154	42	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Peltigeraceae	0.954	0.809	50	Peltigeraceae	0.954	0.809	50	1878	11	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Omphalotaceae	0.935	0.848	50	Omphalotaceae	0.935	0.848	50	2011	12	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Cladoniaceae	0.917	0.9027	50	Cladoniaceae	0.917	0.9027	50	1845	14	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Pyriculariaceae	0.972	0.9007	50	Pyriculariaceae	0.972	0.9007	50	372	10	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Lecideaceae	0.945	0.8962	50	Lecideales	0.945	0.8965	50	412	15	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Phallaceae	0.865	0.9148	50	Phallaceae	0.865	0.9148	50	646	10	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Saccharomycetales_fam_Incertae_sedis	0.7	0.8892	50	Saccharomycetales_fam_Incertae_sedis	0.7	0.8892	50	2938	13	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Parmeliaceae	0.972	0.8152	50	Parmeliaceae	0.972	0.8152	50	2041	49	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
